comment,Other,General Positive,Mixed,Negative,Slow,Quick,Friendly,Helpful
They handled the situation quickly and without any problems,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Keep up the good work ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"I contacted them once about changing my address before shipping and they were very helpful and quick to respond. I contacted them again about the Mirror not working on my computer and they haven't gotten back to me in months, it's probably some weird Linux problem though so I don't blame them.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"I know you are so busy, and I know you are doing your best. Thank you!",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Very slow response, took 3 weeks to answer a 30second question they already had a prepared answer for, but forgot about.",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
too slow. i had problem with a first console lost in the mail and i had to wait alot to ear back from them. i only heard back after soliciting them on twitter.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Thank you for being transparent during the production process,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it was fast and helpful!,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
I did contact them early on over address change stuff and they where very helpful,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"haven't heard from them over a week so yeah, kind of hard to be positive about that",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
They were able to answer my question in a timely manner. Was very impressed with the response time since I emailed during the launch and I’m sure they were very busy with other inquiries. ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Love to see active responses in twitter.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keep doing the great work!,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
